reporting_jurisdiction	CountyFIPS	other_jurisdiction	sewershed_population_served	sewage_travel_time	sample_location	sample_location_specify	wwtp_name	wwtp_jurisdiction	capacity_mgd	industrial_input	stormwater_input	influent_equilibrated	sample_type	composite_freq	sample_matrix	collection_storage_time	collection_storage_temp	solids_separation	concentration_method	extraction_method	pre_conc_storage_time	pre_conc_storage_temp	pre_ext_storage_time	pre_ext_storage_temp	tot_conc_vol	ext_blank	rec_eff_target_name	rec_eff_spike_matrix	rec_eff_spike_conc	pasteurized	pcr_target	pcr_gene_target	pcr_type	hum_frac_target_mic	hum_frac_target_chem	other_norm_name	quant_stan_type	num_no_target_control	sample_collect_date	sample_collect_time	time_zone	flow_rate	ph	conductivity	tss	collection_water_temp	equiv_sewage_amt	sample_id	lab_id	test_result_date	pcr_target_units	pcr_target_avg_conc	pcr_target_std_error	pcr_target_cl_95_lo	pcr_target_cl_95_up	pcr_target_below_lod	lod_sewage	ntc_amplify	rec_eff_percent	inhibition_detect	inhibition_adjust	hum_frac_mic_conc	hum_frac_mic_unit	hum_frac_chem_conc	hum_frac_chem_unit	other_norm_conc	other_norm_unit	major_lab_method	major_lab_method_desc	sample_first_reported	key_sewershed	COUNTY_POPESTIMATE2020	vax_date	cases_date	hosp_date	deaths_date	actuals.vaccinationsInitiated	actuals.vaccinationsCompleted	actuals.vaccinationsAdditionalDose	metrics.vaccinationsInitiatedRatio	metrics.vaccinationsCompletedRatio	metrics.vaccinationsAdditionalDoseRatio	actuals.newCases	metrics.caseDensity100k	metrics.infectionRate	metrics.testPositivityRatio	actuals.hospitalBeds.capacity	actuals.icuBeds.capacity	actuals.hospitalBeds.currentUsageCovid	actuals.icuBeds.currentUsageCovid	metrics.icuCapacityRatio	metrics.bedsWithCovidPatientsRatio	metrics.bedsWithCovidPatientsRatioRolling10	metrics.weeklyCovidAdmissionsPer100k	metrics.weeklyCovidAdmissionsPer100kRolling10	metrics.icuCapacityRatioRolling10	actuals.newDeaths	metrics.newDeathsRolling7
ca	06085		110338		XXXX	XXXX	XXXX	ca	11.0				24-hr flow-weighted composite		raw wastewater			gravity settling	none	chemagic viral dna/rna 300 kit	6.0	4.0	6.0	0.0		yes	bcov vaccine	dewatered solids	4.0		sars-cov-2	n	ddpcr	pepper mild mottle virus			dna	more than 3	2021-03-23	07:00	utc-07:00							XXXX	XXXX	2021-03-24	copies/g dry sludge	6695.748864				no	500.0	no	166.6	no	no	954000000.0	copies/g dry sludge							2021-06-10 21:18:22	ca_352	1907105.0	2021-03-13	2021-03-30	2021-04-06	2021-04-13	453458	259883	0.0	0.235	0.135	0.0	84	5.8	1.04	0.01							0.03		3.8000000000000407	0.7399999999999984	3	5.125
mo	29109		9100		XXXX	XXXX	XXXX	mo	6.0				24-hr time-weighted composite		raw wastewater				peg precipitation	qiagen allprep powerviral dna/rna kit							puro	raw sample	6.0948102996		sars-cov-2	n1	qpcr				rna	3	2021-08-08			1.4						XXXX	XXXX	2021-08-09	copies/l wastewater	96096.17672	7263.7728125	72982.85	119209.5	no	1750.0	no	27.101767429	no	no									2021-08-16 22:02:55	mo_259	38175.0	2021-07-29	2021-08-15	2021-08-22	2021-08-29	12385	9943	0.0	0.323	0.259	0.0	3	37.6	0.84	0.067							0.16500000000000187		25.399999999999885		0	0.125
wi	55075		11000		XXXX	XXXX	XXXX	wi	7.8				24-hr flow-weighted composite		raw wastewater			filtration	membrane filtration with addition of mgcl2	promega ht tna kit							bcov vaccine	raw sample	4.19		sars-cov-2	n1	qpcr	pepper mild mottle virus			dna	3	2021-12-21	07:00	utc-06:00	1.93					0.625	XXXX	XXXX	2021-12-22	copies/l wastewater	797993.0	80852.0			no	64000.0	no	18.242	no	no	8904122.0	copies/l wastewater							2021-12-30 17:05:59	wi_236	40262.0	2021-12-11	2021-12-28	2022-01-04	2022-01-11	21817	20190		0.541	0.5		2	35.1	1.19	0.09							0.16500000000000464		24.099999999999987	0.8849999999999865	0	0.125
ho	48201		70900		XXXX	XXXX	XXXX	tx	13.34				24-hr time-weighted composite	1.0	raw wastewater				membrane filtration with addition of mgcl2	chemagic viral dna/rna 300 kit											sars-cov-2	n2	ddpcr				dna	more than 3	2021-11-01	08:00	utc-05:00	4.874						XXXX	XXXX	2021-11-04	copies/l wastewater	60866.665	1466.665			no	2333.33	no	-1.0	not tested										2021-11-12 17:56:21	tx_56	4738253.0	2021-10-22	2021-11-08	2021-11-15	2021-11-22	3046716	2618522		0.646	0.556		0	8.6	0.95	0.044							0.0400000000000045		5.349999999999914	0.8949999999999882	2	10.375
oh	39153		363897	12.0	XXXX	XXXX	XXXX	oh	90.0	4.29999998637608	yes		24-hr flow-weighted composite		raw wastewater		4.0	centrifugation	membrane filtration with no amendment, membrane recombined with separated solids	trizol and rna purificaton kit	24.0	4.0	1.0	4.0	100.0	no	bcov vaccine	raw sample	6.0	no	sars-cov-2	n2	qpcr	crassphage			rna	2	2020-11-01	07:00	utc-05:00	71.7900009155273			66.0	17.1999998092651		XXXX	XXXX	2020-11-05	copies/l wastewater	7358.939453125	1543.5973086347994			no	200.0	no	-1.0	not tested	no		copies/l wastewater					4	this lab uses a lab method distinct from other labs in this reporting jurisdiction	2021-01-08 14:15:47	oh_36	538866.0	2020-10-22	2020-11-08	2020-11-15	2020-11-22	0.0	0.0	0.0	0.0	0.0	0.0	192	29.0	1.29	0.126							0.08333333333333583		12.000000000000107	0.8433333333333272	1	4.375
wi	55025		345000		XXXX	XXXX	XXXX	wi	56.0				24-hr flow-weighted composite		raw wastewater			filtration	membrane filtration with addition of mgcl2	promega ht tna kit							bcov vaccine	raw sample	4.699		sars-cov-2	n1	qpcr	pepper mild mottle virus			dna	3	2021-03-10	00:00	utc-06:00	41.35	7.55	1785.0			1.0	XXXX	XXXX	2021-03-22	copies/l wastewater	158101.0	12895.0			no	40000.0	no	6.1	no	no	19642197.0	copies/l wastewater							2021-03-24 14:39:33	wi_231	552536.0	2021-02-28	2021-03-17	2021-03-24	2021-03-31	103250	65581	0.0	0.189	0.12	0.0	43	7.9	0.92	0.007							0.010000000000004719		3.199999999999993	0.8299999999999867	0	0.125
oh	39003		61000		XXXX	XXXX	XXXX	oh	30.0	9.26961210996097	no		24-hr time-weighted composite		raw wastewater		4.0	centrifugation	membrane filtration with no amendment, membrane recombined with separated solids	qiagen allprep powerviral dna/rna kit	24.0	4.0	0.0		90.0	no	murine coronavirus	raw sample	7.0	no	sars-cov-2	n2	qpcr	crassphage			dna	1	2021-10-24	00:00	utc-05:00	18.5	7.09999990463257			16.2999992370605		XXXX	XXXX	2021-10-28	copies/l wastewater	2437.9521484375	529.3173595819941			no	1705.0	no	-1.0	not tested	no	136049.203125	copies/l wastewater					3	this lab uses a lab method distinct from other labs in this reporting jurisdiction	2021-11-01 18:13:41	oh_219	101980.0	2021-10-14	2021-10-31	2021-11-07	2021-11-14	41534	38747		0.406	0.379		36	50.0	1.09	0.191							0.1500000000000031		29.750000000000025	0.47499999999999143	0	1.125
nc	37195		49384		XXXX	XXXX	XXXX	nc	14.0	13.0	no	no	24-hr flow-weighted composite		raw wastewater	227.0	4.0	filtration	membrane filtration with acidification and mgcl2	nuclisens manual magnetic bead extraction kit	15.0	20.0	0.0	20.0	40.0	yes	bcov vaccine	raw sample	4.2	yes	sars-cov-2	n2	ddpcr	pepper mild mottle virus			rna	more than 3	2021-12-28	06:27		6.47	6.7			17.2		XXXX	XXXX	2022-01-06	copies/l wastewater	127500.0	-1.0	107500.0	147500.0	no	330.0	no	41.41716567	no		40975000.0	copies/l wastewater							2022-01-07 14:49:32	nc_111	81979.0	2021-12-18	2022-01-04	2022-01-11	2022-01-18	43257	40608		0.529	0.496		43	130.8	1.56	0.385							0.1850000000000025		19.999999999999986	0.8399999999999919	0	0.0
ca	06067		1480000	15.0	XXXX	XXXX	XXXX	ca	181.0				grab		primary sludge			centrifugation	none	chemagic viral dna/rna 300 kit	6.0	4.0	6.0	0.0		yes	bcov vaccine	dewatered solids	4.0		sars-cov-2	n	ddpcr	pepper mild mottle virus			dna	more than 3	2020-12-20	07:00	utc-07:00							XXXX	XXXX	2020-12-21	copies/g dry sludge	185112.8352				no	500.0	no	22.7	no	no	322000000.0	copies/g dry sludge							2021-05-26 17:40:11	ca_383	1559146.0	2020-12-10	2020-12-27	2021-01-03	2021-01-10	0.0	0.0	0.0	0.0	0.0	0.0	805	66.9	0.97	0.12							0.20000000000000004		27.85000000000003	0.8349999999999984	0	15.875
ca	06085		110338		XXXX	XXXX	XXXX	ca	11.0				24-hr flow-weighted composite		raw wastewater			gravity settling	none	chemagic viral dna/rna 300 kit	6.0	4.0	6.0	0.0		yes	bcov vaccine	dewatered solids	4.0		sars-cov-2	n	ddpcr	pepper mild mottle virus			dna	more than 3	2021-02-17	07:00	utc-07:00							XXXX	XXXX	2021-02-18	copies/g dry sludge	51609.20292				no	500.0	no	37.7	no	no	3830000000.0	copies/g dry sludge							2021-06-10 21:18:22	ca_352	1907105.0	2021-02-07	2021-02-24	2021-03-03	2021-03-10	207937	53155	0.0	0.108	0.028	0.0	0	12.5	0.85	0.02							0.065		6.700000000000041	0.7949999999999985	5	4.5
