week	copies_ml	population	region	actuals.hospitalBeds.weeklyCovidAdmissions	actuals.hospitalBeds.currentUsageCovid	actuals.icuBeds.currentUsageCovid	actuals.newDeaths	admits_rolling10	beds_rolling10	icu_rolling10	deaths_rolling5	hosp_date	deaths_date	admits_later	beds_later	icu_later	deaths_later
2020-04-01	382.1488106085709	3,000,000-10,000,000	Nationwide				1021				938.6666666666666	2020-04-15	2020-04-29				1929.1666666666667
2020-04-08	580.7531183327998	3,000,000-10,000,000	Nationwide				2085				1932.6666666666667	2020-04-22	2020-05-06				1815.8333333333333
2020-04-15	669.6392456766489	10,000,000-30,000,000	Nationwide				2752				2256.6666666666665	2020-04-29	2020-05-13				1444.1666666666667
2020-04-22	915.1858372227084	10,000,000-30,000,000	Nationwide				2371				2116.8333333333335	2020-05-06	2020-05-20				1214.3333333333333
2020-04-29	407.9875282598514	10,000,000-30,000,000	Nationwide				2514				1929.1666666666667	2020-05-13	2020-05-27				958.6666666666666
2020-05-06	220.5152581064412	10,000,000-30,000,000	Nationwide				2708				1815.8333333333333	2020-05-20	2020-06-03				921.5
2020-05-13	140.19901126215782	10,000,000-30,000,000	Nationwide				1768				1444.1666666666667	2020-05-27	2020-06-10				787.8333333333334
2020-05-20	74.75441358518971	10,000,000-30,000,000	Nationwide				1477				1214.3333333333333	2020-06-03	2020-06-17				620.0
2020-05-27	77.69103584082163	10,000,000-30,000,000	Nationwide				1485				958.6666666666666	2020-06-10	2020-06-24				570.0
2020-06-03	84.48020373636531	10,000,000-30,000,000	Nationwide				989				921.5	2020-06-17	2020-07-01				645.6666666666666
2020-06-10	117.15172761610806	10,000,000-30,000,000	Nationwide				929				787.8333333333334	2020-06-24	2020-07-08				704.6666666666666
2020-06-17	107.3860109012633	10,000,000-30,000,000	Nationwide				761				620.0	2020-07-01	2020-07-15				767.3333333333334
2020-06-24	99.96105169281536	10,000,000-30,000,000	Nationwide				767				570.0	2020-07-08	2020-07-22				911.3333333333334
2020-07-01	154.2553610402754	10,000,000-30,000,000	Nationwide				642				645.6666666666666	2020-07-15	2020-07-29				1258.1666666666667
2020-07-08	178.78977246688268	10,000,000-30,000,000	Nationwide				948				704.6666666666666	2020-07-22	2020-08-05				1010.6666666666666
2020-07-15	227.00951294097896	10,000,000-30,000,000	Nationwide				971				767.3333333333334	2020-07-29	2020-08-12				1065.6666666666667
2020-07-22	159.971049636922	10,000,000-30,000,000	Nationwide				1136				911.3333333333334	2020-08-05	2020-08-19				982.8333333333334
2020-07-29	150.51444921391726	3,000,000-10,000,000	Nationwide				1396				1258.1666666666667	2020-08-12	2020-08-26				915.3333333333334
2020-08-05	165.87216296636788	10,000,000-30,000,000	Nationwide				1253				1010.6666666666666	2020-08-19	2020-09-02				847.8333333333334
2020-08-12	126.18813524313424	10,000,000-30,000,000	Nationwide				1478				1065.6666666666667	2020-08-26	2020-09-09				741.5
2020-08-19	106.69110846940576	10,000,000-30,000,000	Nationwide				1295				982.8333333333334	2020-09-02	2020-09-16				820.8333333333334
2020-08-26	107.88510860143994	10,000,000-30,000,000	Nationwide				1193				915.3333333333334	2020-09-09	2020-09-23				735.3333333333334
2020-09-02	100.08950079819571	10,000,000-30,000,000	Nationwide				1076				847.8333333333334	2020-09-16	2020-09-30				704.8333333333334
2020-09-09	76.61103814326829	10,000,000-30,000,000	Nationwide				1175				741.5	2020-09-23	2020-10-07				720.3333333333334
2020-09-16	65.16203085314548	10,000,000-30,000,000	Nationwide				997				820.8333333333334	2020-09-30	2020-10-14				714.8333333333334
2020-09-23	67.46107273987049	10,000,000-30,000,000	Nationwide				1090				735.3333333333334	2020-10-07	2020-10-21				799.8333333333334
2020-09-30	71.03117352085108	10,000,000-30,000,000	Nationwide				974				704.8333333333334	2020-10-14	2020-10-28		42503.0	9200.0	808.1666666666666
2020-10-07	91.96599726457282	10,000,000-30,000,000	Nationwide				996				720.3333333333334	2020-10-21	2020-11-04	38746.0	44257.09090909091	9802.09090909091	1011.6666666666666
2020-10-14	135.17770031276677	10,000,000-30,000,000	Nationwide				1009		42503.0	9200.0	714.8333333333334	2020-10-28	2020-11-11	41422.818181818184	49250.545454545456	11005.818181818182	1111.0
2020-10-21	170.17660303265492	10,000,000-30,000,000	Nationwide	37258	45387	10061	1208	38746.0	44257.09090909091	9802.09090909091	799.8333333333334	2020-11-04	2020-11-18	48558.0	57638.63636363636	12517.363636363636	1478.0
2020-10-28	193.02190099663628	10,000,000-30,000,000	Nationwide	41577	51370	11316	1018	41422.818181818184	49250.545454545456	11005.818181818182	808.1666666666666	2020-11-11	2020-11-25	60756.72727272727	70449.54545454546	14694.818181818182	1498.8333333333333
2020-11-04	293.26232928234	10,000,000-30,000,000	Nationwide	49297	60029	12825	1616	48558.0	57638.63636363636	12517.363636363636	1011.6666666666666	2020-11-18	2020-12-02	74496.18181818182	84473.90909090909	17682.272727272728	2179.1666666666665
2020-11-11	467.6465025329549	10,000,000-30,000,000	Nationwide	63305	74633	15091	1431	60756.72727272727	70449.54545454546	14694.818181818182	1111.0	2020-11-25	2020-12-09	83605.54545454546	95050.90909090909	20308.0	2419.6666666666665
2020-11-18	563.6007782606188	10,000,000-30,000,000	Nationwide	76776	88239	18297	1924	74496.18181818182	84473.90909090909	17682.272727272728	1478.0	2020-12-02	2020-12-16	89446.54545454546	104114.18181818182	22405.909090909092	2639.8333333333335
