StateFIPS	CountyFIPS_3	CountyName	StateName	CountyFIPS
01	001	Autauga	Alabama	01001
01	003	Baldwin	Alabama	01003
01	005	Barbour	Alabama	01005
01	007	Bibb	Alabama	01007
01	009	Blount	Alabama	01009
01	011	Bullock	Alabama	01011
01	013	Butler	Alabama	01013
01	015	Calhoun	Alabama	01015
01	017	Chambers	Alabama	01017
01	019	Cherokee	Alabama	01019
01	021	Chilton	Alabama	01021
01	023	Choctaw	Alabama	01023
01	025	Clarke	Alabama	01025
01	027	Clay	Alabama	01027
01	029	Cleburne	Alabama	01029
01	031	Coffee	Alabama	01031
01	033	Colbert	Alabama	01033
01	035	Conecuh	Alabama	01035
01	037	Coosa	Alabama	01037
01	039	Covington	Alabama	01039
01	041	Crenshaw	Alabama	01041
01	043	Cullman	Alabama	01043
01	045	Dale	Alabama	01045
01	047	Dallas	Alabama	01047
01	049	DeKalb	Alabama	01049
01	051	Elmore	Alabama	01051
01	053	Escambia	Alabama	01053
01	055	Etowah	Alabama	01055
01	057	Fayette	Alabama	01057
01	059	Franklin	Alabama	01059
01	061	Geneva	Alabama	01061
01	063	Greene	Alabama	01063
01	065	Hale	Alabama	01065
01	067	Henry	Alabama	01067
01	069	Houston	Alabama	01069
01	071	Jackson	Alabama	01071
01	073	Jefferson	Alabama	01073
01	075	Lamar	Alabama	01075
01	077	Lauderdale	Alabama	01077
01	079	Lawrence	Alabama	01079
01	081	Lee	Alabama	01081
01	083	Limestone	Alabama	01083
01	085	Lowndes	Alabama	01085
01	087	Macon	Alabama	01087
01	089	Madison	Alabama	01089
01	091	Marengo	Alabama	01091
01	093	Marion	Alabama	01093
01	095	Marshall	Alabama	01095
01	097	Mobile	Alabama	01097
01	099	Monroe	Alabama	01099
01	101	Montgomery	Alabama	01101
01	103	Morgan	Alabama	01103
01	105	Perry	Alabama	01105
01	107	Pickens	Alabama	01107
01	109	Pike	Alabama	01109
01	111	Randolph	Alabama	01111
01	113	Russell	Alabama	01113
01	115	St. Clair	Alabama	01115
01	117	Shelby	Alabama	01117
01	119	Sumter	Alabama	01119
01	121	Talladega	Alabama	01121
01	123	Tallapoosa	Alabama	01123
01	125	Tuscaloosa	Alabama	01125
01	127	Walker	Alabama	01127
01	129	Washington	Alabama	01129
01	131	Wilcox	Alabama	01131
01	133	Winston	Alabama	01133
02	013	Aleutians East Borough	Alaska	02013
02	016	Aleutians West Census Area	Alaska	02016
02	020	Anchorage Municipality	Alaska	02020
02	050	Bethel Census Area	Alaska	02050
02	060	Bristol Bay Borough	Alaska	02060
02	068	Denali Borough	Alaska	02068
02	070	Dillingham Census Area	Alaska	02070
02	090	Fairbanks North Star Borough	Alaska	02090
02	100	Haines Borough	Alaska	02100
02	105	Hoonah-Angoon Census Area	Alaska	02105
02	110	Juneau City and Borough	Alaska	02110
02	122	Kenai Peninsula Borough	Alaska	02122
02	130	Ketchikan Gateway Borough	Alaska	02130
02	150	Kodiak Island Borough	Alaska	02150
02	158	Kusilvak Census Area	Alaska	02158
02	164	Lake and Peninsula Borough	Alaska	02164
02	170	Matanuska-Susitna Borough	Alaska	02170
02	180	Nome Census Area	Alaska	02180
02	185	North Slope Borough	Alaska	02185
02	188	Northwest Arctic Borough	Alaska	02188
02	195	Petersburg Borough	Alaska	02195
02	198	Prince of Wales-Hyder Census Area	Alaska	02198
02	220	Sitka City and Borough	Alaska	02220
02	230	Skagway Municipality	Alaska	02230
02	240	Southeast Fairbanks Census Area	Alaska	02240
02	261	Valdez-Cordova Census Area	Alaska	02261
02	275	Wrangell City and Borough	Alaska	02275
02	282	Yakutat City and Borough	Alaska	02282
02	290	Yukon-Koyukuk Census Area	Alaska	02290
04	001	Apache	Arizona	04001
04	003	Cochise	Arizona	04003
04	005	Coconino	Arizona	04005
04	007	Gila	Arizona	04007
04	009	Graham	Arizona	04009
04	011	Greenlee	Arizona	04011
04	012	La Paz	Arizona	04012
04	013	Maricopa	Arizona	04013
04	015	Mohave	Arizona	04015
04	017	Navajo	Arizona	04017
04	019	Pima	Arizona	04019
04	021	Pinal	Arizona	04021
04	023	Santa Cruz	Arizona	04023
04	025	Yavapai	Arizona	04025
04	027	Yuma	Arizona	04027
05	001	Arkansas	Arkansas	05001
05	003	Ashley	Arkansas	05003
05	005	Baxter	Arkansas	05005
05	007	Benton	Arkansas	05007
05	009	Boone	Arkansas	05009
05	011	Bradley	Arkansas	05011
05	013	Calhoun	Arkansas	05013
05	015	Carroll	Arkansas	05015
05	017	Chicot	Arkansas	05017
05	019	Clark	Arkansas	05019
05	021	Clay	Arkansas	05021
05	023	Cleburne	Arkansas	05023
05	025	Cleveland	Arkansas	05025
05	027	Columbia	Arkansas	05027
05	029	Conway	Arkansas	05029
05	031	Craighead	Arkansas	05031
05	033	Crawford	Arkansas	05033
05	035	Crittenden	Arkansas	05035
05	037	Cross	Arkansas	05037
05	039	Dallas	Arkansas	05039
05	041	Desha	Arkansas	05041
05	043	Drew	Arkansas	05043
05	045	Faulkner	Arkansas	05045
05	047	Franklin	Arkansas	05047
05	049	Fulton	Arkansas	05049
05	051	Garland	Arkansas	05051
05	053	Grant	Arkansas	05053
05	055	Greene	Arkansas	05055
05	057	Hempstead	Arkansas	05057
05	059	Hot Spring	Arkansas	05059
05	061	Howard	Arkansas	05061
05	063	Independence	Arkansas	05063
05	065	Izard	Arkansas	05065
05	067	Jackson	Arkansas	05067
05	069	Jefferson	Arkansas	05069
05	071	Johnson	Arkansas	05071
05	073	Lafayette	Arkansas	05073
05	075	Lawrence	Arkansas	05075
05	077	Lee	Arkansas	05077
05	079	Lincoln	Arkansas	05079
05	081	Little River	Arkansas	05081
05	083	Logan	Arkansas	05083
05	085	Lonoke	Arkansas	05085
05	087	Madison	Arkansas	05087
05	089	Marion	Arkansas	05089
05	091	Miller	Arkansas	05091
05	093	Mississippi	Arkansas	05093
05	095	Monroe	Arkansas	05095
05	097	Montgomery	Arkansas	05097
05	099	Nevada	Arkansas	05099
05	101	Newton	Arkansas	05101
05	103	Ouachita	Arkansas	05103
05	105	Perry	Arkansas	05105
05	107	Phillips	Arkansas	05107
05	109	Pike	Arkansas	05109
05	111	Poinsett	Arkansas	05111
05	113	Polk	Arkansas	05113
05	115	Pope	Arkansas	05115
05	117	Prairie	Arkansas	05117
05	119	Pulaski	Arkansas	05119
05	121	Randolph	Arkansas	05121
05	123	St. Francis	Arkansas	05123
05	125	Saline	Arkansas	05125
05	127	Scott	Arkansas	05127
05	129	Searcy	Arkansas	05129
05	131	Sebastian	Arkansas	05131
05	133	Sevier	Arkansas	05133
05	135	Sharp	Arkansas	05135
05	137	Stone	Arkansas	05137
05	139	Union	Arkansas	05139
05	141	Van Buren	Arkansas	05141
05	143	Washington	Arkansas	05143
05	145	White	Arkansas	05145
05	147	Woodruff	Arkansas	05147
05	149	Yell	Arkansas	05149
06	001	Alameda	California	06001
06	003	Alpine	California	06003
06	005	Amador	California	06005
06	007	Butte	California	06007
06	009	Calaveras	California	06009
06	011	Colusa	California	06011
06	013	Contra Costa	California	06013
06	015	Del Norte	California	06015
06	017	El Dorado	California	06017
06	019	Fresno	California	06019
06	021	Glenn	California	06021
06	023	Humboldt	California	06023
06	025	Imperial	California	06025
06	027	Inyo	California	06027
06	029	Kern	California	06029
06	031	Kings	California	06031
06	033	Lake	California	06033
06	035	Lassen	California	06035
06	037	Los Angeles	California	06037
06	039	Madera	California	06039
06	041	Marin	California	06041
06	043	Mariposa	California	06043
06	045	Mendocino	California	06045
06	047	Merced	California	06047
06	049	Modoc	California	06049
06	051	Mono	California	06051
06	053	Monterey	California	06053
06	055	Napa	California	06055
06	057	Nevada	California	06057
06	059	Orange	California	06059
06	061	Placer	California	06061
06	063	Plumas	California	06063
06	065	Riverside	California	06065
06	067	Sacramento	California	06067
06	069	San Benito	California	06069
06	071	San Bernardino	California	06071
06	073	San Diego	California	06073
06	075	San Francisco	California	06075
06	077	San Joaquin	California	06077
06	079	San Luis Obispo	California	06079
06	081	San Mateo	California	06081
06	083	Santa Barbara	California	06083
06	085	Santa Clara	California	06085
06	087	Santa Cruz	California	06087
06	089	Shasta	California	06089
06	091	Sierra	California	06091
06	093	Siskiyou	California	06093
06	095	Solano	California	06095
06	097	Sonoma	California	06097
06	099	Stanislaus	California	06099
06	101	Sutter	California	06101
06	103	Tehama	California	06103
06	105	Trinity	California	06105
06	107	Tulare	California	06107
06	109	Tuolumne	California	06109
06	111	Ventura	California	06111
06	113	Yolo	California	06113
06	115	Yuba	California	06115
08	001	Adams	Colorado	08001
08	003	Alamosa	Colorado	08003
08	005	Arapahoe	Colorado	08005
08	007	Archuleta	Colorado	08007
08	009	Baca	Colorado	08009
08	011	Bent	Colorado	08011
08	013	Boulder	Colorado	08013
08	014	Broomfield	Colorado	08014
08	015	Chaffee	Colorado	08015
08	017	Cheyenne	Colorado	08017
08	019	Clear Creek	Colorado	08019
08	021	Conejos	Colorado	08021
08	023	Costilla	Colorado	08023
08	025	Crowley	Colorado	08025
08	027	Custer	Colorado	08027
08	029	Delta	Colorado	08029
08	031	Denver	Colorado	08031
08	033	Dolores	Colorado	08033
08	035	Douglas	Colorado	08035
