FIPS	Name	STATE-COUNTY
02000	AK	AK
02013	AK, Aleutians East	AK-ALEUTIANS EAST
02016	AK, Aleutians West	AK-ALEUTIANS WEST
02020	AK, Anchorage	AK-ANCHORAGE
02050	AK, Bethel	AK-BETHEL
02060	AK, Bristol Bay	AK-BRISTOL BAY
02068	AK, Denali	AK-DENALI
02070	AK, Dillingham	AK-DILLINGHAM
02090	AK, Fairbanks North Star	AK-FAIRBANKS NORTH STAR
02100	AK, Haines	AK-HAINES
02110	AK, Juneau	AK-JUNEAU
02122	AK, Kenai Peninsula	AK-KENAI PENINSULA
02130	AK, Ketchikan Gateway	AK-KETCHIKAN GATEWAY
02150	AK, Kodiak Island	AK-KODIAK ISLAND
02164	AK, Lake and Peninsula	AK-LAKE AND PENINSULA
02170	AK, Matanuska-Susitna	AK-MATANUSKA-SUSITNA
02180	AK, Nome	AK-NOME
02185	AK, North Slope	AK-NORTH SLOPE
02188	AK, Northwest Arctic	AK-NORTHWEST ARCTIC
02201	AK, Prince of Wales-Outer Ketchikan	AK-PRINCE OF WALES-OUTER KETCHIKAN
02220	AK, Sitka	AK-SITKA
02232	AK, Skagway-Hoonah-Angoon	AK-SKAGWAY-HOONAH-ANGOON
02240	AK, Southeast Fairbanks	AK-SOUTHEAST FAIRBANKS
02261	AK, Valdez-Cordova	AK-VALDEZ-CORDOVA
02270	AK, Wade Hampton	AK-WADE HAMPTON
02280	AK, Wrangell-Petersburg	AK-WRANGELL-PETERSBURG
02282	AK, Yakutat	AK-YAKUTAT
02290	AK, Yukon-Koyukuk	AK-YUKON-KOYUKUK
01000	AL	AL
01001	AL, Autauga	AL-AUTAUGA
01003	AL, Baldwin	AL-BALDWIN
01005	AL, Barbour	AL-BARBOUR
01007	AL, Bibb	AL-BIBB
01009	AL, Blount	AL-BLOUNT
01011	AL, Bullock	AL-BULLOCK
01013	AL, Butler	AL-BUTLER
01015	AL, Calhoun	AL-CALHOUN
01017	AL, Chambers	AL-CHAMBERS
01019	AL, Cherokee	AL-CHEROKEE
01021	AL, Chilton	AL-CHILTON
01023	AL, Choctaw	AL-CHOCTAW
01025	AL, Clarke	AL-CLARKE
01027	AL, Clay	AL-CLAY
01029	AL, Cleburne	AL-CLEBURNE
01031	AL, Coffee	AL-COFFEE
01033	AL, Colbert	AL-COLBERT
01035	AL, Conecuh	AL-CONECUH
01037	AL, Coosa	AL-COOSA
01039	AL, Covington	AL-COVINGTON
01041	AL, Crenshaw	AL-CRENSHAW
01043	AL, Cullman	AL-CULLMAN
01045	AL, Dale	AL-DALE
01047	AL, Dallas	AL-DALLAS
01049	AL, De Kalb	AL-DE KALB
01051	AL, Elmore	AL-ELMORE
01053	AL, Escambia	AL-ESCAMBIA
01055	AL, Etowah	AL-ETOWAH
01057	AL, Fayette	AL-FAYETTE
01059	AL, Franklin	AL-FRANKLIN
01061	AL, Geneva	AL-GENEVA
01063	AL, Greene	AL-GREENE
01065	AL, Hale	AL-HALE
01067	AL, Henry	AL-HENRY
01069	AL, Houston	AL-HOUSTON
01071	AL, Jackson	AL-JACKSON
01073	AL, Jefferson	AL-JEFFERSON
01075	AL, Lamar	AL-LAMAR
01077	AL, Lauderdale	AL-LAUDERDALE
01079	AL, Lawrence	AL-LAWRENCE
01081	AL, Lee	AL-LEE
01083	AL, Limestone	AL-LIMESTONE
01085	AL, Lowndes	AL-LOWNDES
01087	AL, Macon	AL-MACON
01089	AL, Madison	AL-MADISON
01091	AL, Marengo	AL-MARENGO
01093	AL, Marion	AL-MARION
01095	AL, Marshall	AL-MARSHALL
01097	AL, Mobile	AL-MOBILE
01099	AL, Monroe	AL-MONROE
01101	AL, Montgomery	AL-MONTGOMERY
01103	AL, Morgan	AL-MORGAN
01105	AL, Perry	AL-PERRY
01107	AL, Pickens	AL-PICKENS
01109	AL, Pike	AL-PIKE
01111	AL, Randolph	AL-RANDOLPH
01113	AL, Russell	AL-RUSSELL
01117	AL, Shelby	AL-SHELBY
01115	AL, St. Clair	AL-ST. CLAIR
01119	AL, Sumter	AL-SUMTER
01121	AL, Talladega	AL-TALLADEGA
01123	AL, Tallapoosa	AL-TALLAPOOSA
01125	AL, Tuscaloosa	AL-TUSCALOOSA
01127	AL, Walker	AL-WALKER
01129	AL, Washington	AL-WASHINGTON
01131	AL, Wilcox	AL-WILCOX
01133	AL, Winston	AL-WINSTON
05000	AR	AR
05001	AR, Arkansas	AR-ARKANSAS
05003	AR, Ashley	AR-ASHLEY
05005	AR, Baxter	AR-BAXTER
05007	AR, Benton	AR-BENTON
05009	AR, Boone	AR-BOONE
05011	AR, Bradley	AR-BRADLEY
05013	AR, Calhoun	AR-CALHOUN
05015	AR, Carroll	AR-CARROLL
05017	AR, Chicot	AR-CHICOT
05019	AR, Clark	AR-CLARK
05021	AR, Clay	AR-CLAY
05023	AR, Cleburne	AR-CLEBURNE
05025	AR, Cleveland	AR-CLEVELAND
05027	AR, Columbia	AR-COLUMBIA
05029	AR, Conway	AR-CONWAY
05031	AR, Craighead	AR-CRAIGHEAD
05033	AR, Crawford	AR-CRAWFORD
05035	AR, Crittenden	AR-CRITTENDEN
05037	AR, Cross	AR-CROSS
05039	AR, Dallas	AR-DALLAS
05041	AR, Desha	AR-DESHA
05043	AR, Drew	AR-DREW
05045	AR, Faulkner	AR-FAULKNER
05047	AR, Franklin	AR-FRANKLIN
05049	AR, Fulton	AR-FULTON
05051	AR, Garland	AR-GARLAND
05053	AR, Grant	AR-GRANT
05055	AR, Greene	AR-GREENE
05057	AR, Hempstead	AR-HEMPSTEAD
05059	AR, Hot Spring	AR-HOT SPRING
05061	AR, Howard	AR-HOWARD
05063	AR, Independence	AR-INDEPENDENCE
05065	AR, Izard	AR-IZARD
05067	AR, Jackson	AR-JACKSON
05069	AR, Jefferson	AR-JEFFERSON
05071	AR, Johnson	AR-JOHNSON
05073	AR, Lafayette	AR-LAFAYETTE
05075	AR, Lawrence	AR-LAWRENCE
05077	AR, Lee	AR-LEE
05079	AR, Lincoln	AR-LINCOLN
05081	AR, Little River	AR-LITTLE RIVER
05083	AR, Logan	AR-LOGAN
05085	AR, Lonoke	AR-LONOKE
05087	AR, Madison	AR-MADISON
05089	AR, Marion	AR-MARION
05091	AR, Miller	AR-MILLER
05093	AR, Mississippi	AR-MISSISSIPPI
05095	AR, Monroe	AR-MONROE
05097	AR, Montgomery	AR-MONTGOMERY
05099	AR, Nevada	AR-NEVADA
05101	AR, Newton	AR-NEWTON
05103	AR, Ouachita	AR-OUACHITA
05105	AR, Perry	AR-PERRY
05107	AR, Phillips	AR-PHILLIPS
05109	AR, Pike	AR-PIKE
05111	AR, Poinsett	AR-POINSETT
05113	AR, Polk	AR-POLK
05115	AR, Pope	AR-POPE
05117	AR, Prairie	AR-PRAIRIE
05119	AR, Pulaski	AR-PULASKI
05121	AR, Randolph	AR-RANDOLPH
05125	AR, Saline	AR-SALINE
05127	AR, Scott	AR-SCOTT
05129	AR, Searcy	AR-SEARCY
05131	AR, Sebastian	AR-SEBASTIAN
05133	AR, Sevier	AR-SEVIER
05135	AR, Sharp	AR-SHARP
05123	AR, St. Francis	AR-ST. FRANCIS
05137	AR, Stone	AR-STONE
05139	AR, Union	AR-UNION
05141	AR, Van Buren	AR-VAN BUREN
05143	AR, Washington	AR-WASHINGTON
05145	AR, White	AR-WHITE
05147	AR, Woodruff	AR-WOODRUFF
05149	AR, Yell	AR-YELL
60000	AS, Eastern	AS-EASTERN
60020	AS, Manu'a	AS-MANU'A
60030	AS, Rose Island	AS-ROSE ISLAND
60040	AS, Swains Island	AS-SWAINS ISLAND
60050	AS, Western	AS-WESTERN
04000	AZ	AZ
04001	AZ, Apache	AZ-APACHE
04003	AZ, Cochise	AZ-COCHISE
