FIPS	STATE_COUNTY_FIPS	WBE_WHO	DensitySqKm	DensityCategory	SVI	SviCategory
01001	AL | AUTAUGA | 01001	none	35.9	high	0.435	med
01003	AL | BALDWIN | 01003	none	50.5	high	0.216	low
01005	AL | BARBOUR | 01005	none	11.2	med	0.996	high
01007	AL | BIBB | 01007	none	14.0	med	0.6	med
01009	AL | BLOUNT | 01009	none	34.5	high	0.424	med
01011	AL | BULLOCK | 01011	none	6.4	low	0.89	high
01013	AL | BUTLER | 01013	none	10.0	med	0.865	high
01015	AL | CALHOUN | 01015	none	73.3	high	0.825	high
01017	AL | CHAMBERS | 01017	none	21.9	med	0.738	high
01019	AL | CHEROKEE | 01019	none	18.0	med	0.452	med
01021	AL | CHILTON | 01021	none	24.5	med	0.76	high
01023	AL | CHOCTAW | 01023	none	5.5	low	0.875	high
01025	AL | CLARKE | 01025	none	7.6	low	0.847	high
01027	AL | CLAY | 01027	none	8.6	low	0.564	med
01029	AL | CLEBURNE | 01029	none	10.3	med	0.542	med
01031	AL | COFFEE | 01031	none	29.2	med	0.541	med
01033	AL | COLBERT | 01033	none	35.5	high	0.427	med
01035	AL | CONECUH | 01035	none	5.7	low	0.809	high
01037	AL | COOSA | 01037	none	6.4	low	0.526	med
01039	AL | COVINGTON | 01039	none	14.0	med	0.772	high
01041	AL | CRENSHAW | 01041	none	8.8	low	0.687	high
01043	AL | CULLMAN | 01043	none	43.3	high	0.518	med
01045	AL | DALE | 01045	none	33.9	high	0.76	high
01047	AL | DALLAS | 01047	none	15.8	med	0.949	high
01049	AL | DEKALB | 01049	none	35.4	high	0.802	high
01051	AL | ELMORE | 01051	none	50.7	high	0.54	med
01053	AL | ESCAMBIA | 01053	none	15.2	med	0.856	high
01055	AL | ETOWAH | 01055	none	74.3	high	0.656	med
01057	AL | FAYETTE | 01057	none	10.2	med	0.704	high
01059	AL | FRANKLIN | 01059	none	19.2	med	0.842	high
01061	AL | GENEVA | 01061	none	17.8	med	0.796	high
01063	AL | GREENE | 01063	none	5.0	low	0.985	high
01065	AL | HALE | 01065	none	8.9	low	0.96	high
01067	AL | HENRY | 01067	none	11.8	med	0.552	med
01069	AL | HOUSTON | 01069	none	69.5	high	0.684	high
01071	AL | JACKSON | 01071	none	18.7	med	0.573	med
01073	AL | JEFFERSON | 01073	none	229.3	high	0.662	med
01075	AL | LAMAR | 01075	none	8.9	low	0.626	med
01077	AL | LAUDERDALE | 01077	none	53.5	high	0.447	med
01079	AL | LAWRENCE | 01079	none	18.5	med	0.495	med
01081	AL | LEE | 01081	none	101.2	high	0.66	med
01083	AL | LIMESTONE | 01083	none	64.2	high	0.53	med
01085	AL | LOWNDES | 01085	none	5.5	low	0.919	high
01087	AL | MACON | 01087	none	12.1	med	0.897	high
01089	AL | MADISON | 01089	biobot	172.2	high	0.308	low
01091	AL | MARENGO | 01091	none	7.7	low	0.762	high
01093	AL | MARION | 01093	none	15.6	med	0.671	high
01095	AL | MARSHALL | 01095	none	64.9	high	0.726	high
01097	AL | MOBILE | 01097	none	130.2	high	0.753	high
01099	AL | MONROE | 01099	none	8.1	low	0.748	high
01101	AL | MONTGOMERY | 01101	none	111.6	high	0.843	high
01103	AL | MORGAN | 01103	none	79.4	high	0.69	high
01105	AL | PERRY | 01105	none	5.1	low	0.995	high
01107	AL | PICKENS | 01107	none	8.9	low	0.921	high
01109	AL | PIKE | 01109	none	19.2	med	0.902	high
01111	AL | RANDOLPH | 01111	none	15.0	med	0.719	high
01113	AL | RUSSELL | 01113	none	35.1	high	0.912	high
01115	AL | ST. CLAIR | 01115	none	53.4	high	0.366	med
01117	AL | SHELBY | 01117	none	103.9	high	0.117	low
01119	AL | SUMTER | 01119	none	5.5	low	0.956	high
01121	AL | TALLADEGA | 01121	none	42.2	high	0.874	high
01123	AL | TALLAPOOSA | 01123	none	21.9	med	0.886	high
01125	AL | TUSCALOOSA | 01125	none	60.3	high	0.626	med
01127	AL | WALKER | 01127	none	31.5	high	0.745	high
01129	AL | WASHINGTON | 01129	none	5.9	low	0.73	high
01131	AL | WILCOX | 01131	none	4.7	low	0.928	high
01133	AL | WINSTON | 01133	none	15.0	med	0.702	high
02013	AK | ALEUTIANS EAST BOROUGH | 02013	none	0.2	low	0.58	med
02016	AK | ALEUTIANS WEST CENSUS AREA | 02016	none	0.5	low	0.493	med
02020	AK | ANCHORAGE MUNICIPALITY | 02020	none	67.0	high	0.46	med
02050	AK | BETHEL CENSUS AREA | 02050	none	0.2	low	0.975	high
02060	AK | BRISTOL BAY BOROUGH | 02060	none	0.7	low	0.352	med
02068	AK | DENALI BOROUGH | 02068	none	0.1	low	0.101	low
02070	AK | DILLINGHAM CENSUS AREA | 02070	none	0.1	low	0.868	high
02090	AK | FAIRBANKS NORTH STAR BOROUGH | 02090	none	5.2	low	0.345	med
02100	AK | HAINES BOROUGH | 02100	none	0.4	low	0.207	low
02105	AK | HOONAH-ANGOON CENSUS AREA | 02105	none	0.1	low	0.418	med
02110	AK | JUNEAU CITY AND BOROUGH | 02110	none	4.6	low	0.299	low
02122	AK | KENAI PENINSULA BOROUGH | 02122	none	1.4	low	0.407	med
02130	AK | KETCHIKAN GATEWAY BOROUGH | 02130	none	1.1	low	0.555	med
02150	AK | KODIAK ISLAND BOROUGH | 02150	none	0.8	low	0.701	high
02158	AK | KUSILVAK CENSUS AREA | 02158	none	0.2	low	0.933	high
02164	AK | LAKE AND PENINSULA BOROUGH | 02164	none	0.0	low	0.798	high
02170	AK | MATANUSKA-SUSITNA BOROUGH | 02170	none	1.6	low	0.317	low
